id,name,activities,description,profileImage,specialties,isAvailable,tags
1,잉드,"개발자;게임개발;웹개발","인디 게임 기획으로 활동하는 게임 기획자이자 현 대학원생입니다. Team HGE에서 기획운영팀으로 활동하다 현재는 HGE CREATOR 서버관리자 역할을 맡고 있습니다.",/creators/잉드.jpg,"게임 기획;컨텐츠 기획;시스템 기획;설정 기획;디스코드 서버 관리",true,"게임개발;기획;디스코드;서버관리"
2,도영,코스어,"코스어로 1년 정도 활동한 도영입니다. 다양한 장르를 코스하고 있고 앞으로도 열심히 활동할 목표를 가지고 있습니다.",/creators/도영.jpg,코스프레,true,"코스프레;코스어"
3,승룡 Seungryong,코스어,"트위터에서 활동하고 있는 코스어 승룡 Seungryong 입니다. 잘 부탁드립니다",/creators/승룡_Seungryong.jpg,코스어,true,"코스프레;코스어;SNS"
4,먼지,"스트리머;유튜버","HGE CREATOR의 매니저이자 스트리머로, 커뮤니티 운영과 게임 방송을 함께하고 있습니다. 즐겁고 편안한 분위기 속에서 시청자와 함께 성장하는 콘텐츠를 만들어갑니다.",/creators/먼지.jpg,"실시간 게임 스트리밍;게임 리뷰;리액션",true,"스트리머;유튜버;게임방송;커뮤니티"
5,하루,코스어,"애니/게임 캐릭터 코스어로 2년간 활동하며 각종 게임 행사 참가와 스튜디오 촬영도 하고 있습니다.",/creators/하루.jpg,"애니 캐릭터 코스프레;게임 캐릭터 코스프레",true,"코스프레;애니;게임;행사"
6,로규,"영상편집;보컬;ASMR","JPOP, KPOP을 주로 부르는 커버송 보컬 유튜버 로규라고합니다",/creators/로규.jpg,"노래;영상편집",true,"유튜버;보컬;영상편집;커버송"
7,플 렌,"스트리머;보컬;ASMR","다양한 게임들을 소개하고 직접 플레이하며 게임 OST도 노래하는 버튜버 플렌입니다.",/creators/플_렌.jpg,"종합게임;버튜버;풍부한 게임 이해도;보컬;더빙",true,"버튜버;스트리머;게임;보컬"
8,용그리는인간,유튜버,"유튜브,X에서 소소하게 그림 그리는거 올리고 있습니다!",/creators/용그리는인간.jpg,"그림;액션 그림;판타지 그림",true,"유튜버;일러스트;그림;SNS"
9,나누,"스트리머;유튜버","안녕하세요 치지직에서 asmr과 게임방송을 하고있는 나누입니다 주로 저녁에 방송하고있으며 다양한 컨텐츠도 보실수있습니다",/creators/나누.jpg,"ASMR;실시간 스트리밍;목소리",true,"스트리머;유튜버;ASMR;게임방송"
10,해루,"영상편집;일러스트레이터","바다의 별자리라는 이름으로 각종 일러스트를 그리며, 디자인과 편집 작업을 통해 세상에 저만의 빛을 더하고 있습니다 :)",/creators/해루.jpg,"일러스트레이션;디지털페인팅;캐릭터디자인;편집;드로잉;창작콘텐츠;디자인",true,"일러스트;디자인;영상편집;창작"
11,단차2,스트리머,"공포게임,인디게임,스팀게임 위주로 실시간 방송을 진행하는 단차2입니다",/creators/단차2.jpg,"스트리밍;공포게임;실시간스트리밍;스토리게임",true,"스트리머;공포게임;인디게임;스팀게임"
12,토라쿠로 소야,"스트리머;보컬;ASMR","안녕하세요. 노래와 소통, 게임을 중심으로 활동하며 차분함 속 활기를 담아 모두와 즐거운 시간을 만들어가는 치지직 버추얼 스트리머 토라쿠로 소야 입니다.",/creators/토라쿠로_소야.jpg,"J-pop커버;버추얼 스트리머;잔잔한 라디오;종합게임;FPS게임;라이브 방송",true,"버튜버;스트리머;보컬;게임;라디오"
13,Katherine Serrath,"유튜버;일러스트레이터;영어 LQA","영어·한국어로 활동하는 버튜버로, 실시간 게임 플레이와 RP ASMR 제작, 일러스트·연출 담당, 팬 소통과 협업, 영어 LQA까지 지원하는 몰입형 방송을 진행합니다.",/creators/Katherine_Serrath.jpg,"게임 리뷰;영어 LQA;실시간 게임 플레이;영어;버튜버;호러 게임;종합 게임;자체 편집;홍보 효과 유도",true,"버튜버;영어;일러스트;게임;LQA"
14,라벨로시,스트리머,"이승에 내려온 저승사자이자 저승 기록관인 라벨로시입니다. 다양한 게임을 시도하고 이를 기록하고자 합니다.",/creators/라벨로시.jpg,"실시간 게임 플레이;RP 스트리밍;기록 작성",true,"스트리머;게임;RP방송"
15,칼바이스,"스트리머;성우;더빙","신뢰와 약속이 증명된 중계, 마일드하게 때려박는 중저음 보이스의 장인",/creators/칼바이스.jpg,"게임중계;리뷰;더빙;이벤트 진행",true,"스트리머;성우;더빙;게임중계"
16,창천,코스어,"코스튬플레이어로써 10년차 이상의 다양한 경력들을 바탕으로 각종 코스프레 대회에서의 수상 커리어들을 보유하고 있습니다. 그외에도 각종 게임사와의 공식 크리에이터 콜라보 및 공식 아티스트 활동을 진행한 여러 경력들을 보유하고 있습니다.",/creators/창천.jpg,"코스프레;SNS홍보;모델;홍보모델",true,"코스프레;모델;SNS;홍보"
17,연주수화,"코스어;보컬;ASMR;성우;더빙","여러 게임캐릭터와 웹툰등의 캐릭터를 코스프레를하며 다양한 캐릭터를 홍보하며 더욱 많은 캐릭터를 코스프레하며 홍보하는 코스어가 되고싶습니다.",/creators/연주수화.jpg,"홍보효과 유도;이벤트 진행;게임캐릭터 이입 연기;커뮤니케이션",true,"코스프레;성우;이벤트;게임"
18,류보현,"사운드 디자이너;작곡;효과음 창작","안녕하세요 사운드 디자이너 류보현입니다. 각종 TV 예능, 다큐, 영화, 홍보영상, 게임 등 다양한 미디어 분야의 사운드 엔지니어링 경험이 있습니다. 전문 스튜디오를 보유하고 있어 레코딩 및 믹싱도 전문적으로 작업이 가능합니다.",/creators/류보현.jpg,"게임사운드;영화사운드;광고사운드;애니메이션사운드;믹싱;마스터링",true,"사운드;작곡;믹싱;게임음악"
19,라엘,"코스어;성우;더빙","게임 위주 코스어로 여러 게임 캐릭터들을 코스프레 하며, 성우 지망생으로써 다양한 캐릭터의 더빙 및 나레이션을 시도하고 있습니다.",/creators/라엘.jpg,"게임 코스프레;코스어;게임 더빙;나레이션;캐릭터 더빙",true,"코스프레;성우;더빙;게임"
20,KOMEKO,"스트리머;유튜버","《당신의 집 천장에 숨어 사는 반려요괴》【우시로노 코메코】 공포게임, 종합게임, 토크 일본VTuber과 콜라보 활동을 하고 있습니다!",/creators/KOMEKO.jpg,"VTuber;일본어;공포게임;종합게임;토크",true,"버튜버;일본어;공포게임;콜라보"
